,qber,final error rate,error estimate,initial key length,key length after sifting,key length after err est,key length after err corr
186,0.06999999999999999,0.008976660682226212,0.05226748519753034,10000,5062,3995,1114
187,0.08,0.013757523645743766,0.05159574468085107,10000,5069,4099,1163
188,0.09,0.014056224899598393,0.05551470588235294,10000,4978,3988,498
189,0.09999999999999999,0.02081218274111675,0.0602022462051417,10000,4987,3941,1970
190,0.11,0.03665987780040733,0.070069666257732,10000,4974,3932,491
191,0.12,0.0243531202435312,0.08906147758078085,10000,4958,3943,1971
192,0.13,0.0163265306122449,0.09125984251968504,10000,4936,3928,245
193,0.14,0.02642073778664008,0.08531076665906846,10000,5040,4013,2006
194,0.15000000000000002,0.024586051179126944,0.09338969214455235,10000,4962,3987,1993
195,0.01,0.001913265306122449,0.00697080435380565,10000,4938,3929,3136
196,0.02,0.0024665257223396757,0.011909119750103716,10000,4997,4004,2838
197,0.03,0.004985044865403789,0.019778545901927472,10000,4936,3924,2006
198,0.04,0.005743825387708214,0.03945790667782369,10000,4933,3970,1741
199,0.05,0.014613778705636743,0.03467166490570407,10000,5059,4004,958
200,0.060000000000000005,0.003935286401399213,0.03633142261594581,10000,4977,3997,2287
201,0.06999999999999999,0.012640449438202247,0.044246863542843004,10000,5019,4002,2136
202,0.08,0.011450381679389313,0.04955924293492352,10000,5035,3994,1048
203,0.09,0.011928429423459244,0.06216020749164547,10000,5007,4026,1006
204,0.09999999999999999,0.013452914798206279,0.054737542461836,10000,5002,4015,2007
205,0.11,0.016145307769929364,0.06463446455158017,10000,4986,3965,1982
206,0.12,0.01596009975062344,0.08274481384183349,10000,5067,4011,2005
207,0.13,0.02693437806072478,0.08962250918713707,10000,5010,4085,2042
208,0.14,0.0175,0.09316763223503668,10000,4948,4001,2000
209,0.15000000000000002,0.026052104208416832,0.07912565141864505,10000,5017,3996,499
210,0.01,0.002968960863697706,0.0030109939064165594,10000,4998,3995,3705
211,0.02,0.0017605633802816902,0.00939699331359335,10000,4886,3931,2840
212,0.03,0.005417118093174431,0.021566990487755514,10000,4889,3915,1846
213,0.04,0.006291635825314582,0.026373441186383552,10000,5132,4110,2702
214,0.05,0.007246376811594203,0.025943340778182673,10000,4966,3953,1656
215,0.060000000000000005,0.009700176366843033,0.03969921389428716,10000,4955,3999,2268
216,0.06999999999999999,0.01383587786259542,0.056004137466523406,10000,4993,3994,2096
217,0.08,0.018463073852295408,0.06352660646553776,10000,5014,4009,2004
218,0.09,0.018117765475591345,0.06757767913760304,10000,4948,3975,1987
219,0.09999999999999999,0.025793650793650792,0.06488079042242025,10000,5006,4036,504
220,0.11,0.008064516129032258,0.06859180806225007,10000,4946,3984,124
221,0.12,0.03338391502276176,0.0844866879039167,10000,4936,3955,1977
222,0.13,0.02119071644803229,0.0831422868548617,10000,4991,3965,1982
223,0.14,0.022671266633809757,0.10090508562428979,10000,5061,4059,2029
224,0.15000000000000002,0.02756892230576441,0.09754175858808697,10000,4986,3991,1995
225,0.01,0.0024005486968449933,0.008138427784907067,10000,5031,4048,2916
226,0.02,0.0027450980392156863,0.009977674264766683,10000,4954,3946,2550
227,0.03,0.0044194455604660505,0.028261582039937262,10000,4953,3940,2489
228,0.04,0.00876010781671159,0.03415883697066105,10000,5017,3993,1484
229,0.05,0.007845934379457917,0.03194639535325158,10000,4999,3972,1402
230,0.060000000000000005,0.006020469596628537,0.023428706496780874,10000,5013,3980,1661
231,0.06999999999999999,0.005179110919292188,0.037545438525312384,10000,5060,4072,2317
232,0.08,0.011650485436893204,0.0502209595959596,10000,4999,4024,515
233,0.09,0.005663048607833884,0.05747829277241042,10000,4927,3953,2119
234,0.09999999999999999,0.02012072434607646,0.0651088591691326,10000,4964,3980,497
235,0.11,0.019558676028084254,0.07774806698696349,10000,5040,3989,1994
236,0.12,0.01636904761904762,0.0776984126984127,10000,5087,4033,2016
237,0.13,0.01693227091633466,0.09672595150152562,10000,5016,4017,2008
238,0.14,0.023529411764705882,0.07630385892264306,10000,5038,4088,255
239,0.15000000000000002,0.02636916835699797,0.0921464589448333,10000,4979,3948,493
240,0.01,0.0002836074872376631,0.006800647322268639,10000,5070,4039,3526
241,0.02,0.0021406727828746177,0.006785372036229868,10000,4981,3963,3270
242,0.03,0.003920171062009979,0.01832597898865597,10000,5073,4039,2806
243,0.04,0.007708119218910586,0.02390684410646388,10000,5085,4039,1946
244,0.05,0.008990318118948824,0.03082318271119843,10000,4971,3962,1446
245,0.060000000000000005,0.0068212824010914054,0.034284949935030194,10000,5040,4016,1466
246,0.06999999999999999,0.015102974828375287,0.05565473806281304,10000,5048,4024,2185
247,0.08,0.016260162601626018,0.05151805967544931,10000,4934,3929,492
248,0.09,0.0187192118226601,0.06102864955005033,10000,5094,4062,1015
249,0.09999999999999999,0.0145,0.06817980602841162,10000,4998,4001,2000
250,0.11,0.023858921161825725,0.062009488480076716,10000,4835,3858,964
251,0.12,0.029979674796747968,0.0902732060566162,10000,4923,3937,1968
252,0.13,0.016,0.07697336420413642,10000,5022,4008,250
253,0.14,0.022277227722772276,0.09787250266890346,10000,5013,4041,2020
254,0.15000000000000002,0.015768056968463885,0.0991062124248497,10000,4932,3933,1966
255,0.01,0.0019220208676551346,0.003053054291180157,10000,4995,4010,3642
256,0.02,0.00363901018922853,0.01815142687904188,10000,4935,3942,2748
257,0.03,0.004432624113475178,0.013867338250857383,10000,4952,3949,2256
258,0.04,0.00821917808219178,0.011606001480185696,10000,4945,3910,2555
259,0.05,0.0018501387604070306,0.017093717238589743,10000,4889,3902,2162
260,0.060000000000000005,0.009544468546637744,0.041932474152513444,10000,5032,4005,2305
261,0.06999999999999999,0.013686131386861315,0.05175247524752476,10000,4976,3971,1096
262,0.08,0.011976047904191617,0.05025565907978273,10000,4992,3977,334
263,0.09,0.018935516888433982,0.06201734995128052,10000,4958,3909,1954
264,0.09999999999999999,0.019076305220883535,0.07420780040468544,10000,5024,3986,996
265,0.11,0.010945273631840797,0.04986715311099656,10000,4976,4022,1005
266,0.12,0.014329580348004094,0.07449329846355018,10000,4971,3910,977
267,0.13,0.016129032258064516,0.08479644873293378,10000,4983,4000,62
268,0.14,0.0246669955599408,0.10221568696925676,10000,5063,4055,2027
269,0.15000000000000002,0.0243161094224924,0.0976922745114955,10000,4913,3950,987
270,0.01,0.00028376844494892167,0.005055192351916949,10000,4949,3962,3524
271,0.02,0.002018842530282638,0.01815249989729263,10000,4974,3987,2972
272,0.03,0.0038211692777990066,0.01489278614030105,10000,5023,4016,2617
273,0.04,0.010317460317460317,0.033439959872048154,10000,4950,3996,2520
274,0.05,0.009406657018813314,0.03258872088440877,10000,5104,4122,1382
275,0.060000000000000005,0.007530120481927711,0.03644097634468472,10000,5040,4051,1328
276,0.06999999999999999,0.010344827586206896,0.04301330998543562,10000,4852,3877,580
277,0.08,0.011315417256011316,0.05595527467185221,10000,4969,3975,2121
278,0.09,0.024630541871921183,0.07008101365178146,10000,4993,3993,203
279,0.09999999999999999,0.020202020202020204,0.07196758898559757,10000,4989,3950,1980
280,0.11,0.02100840336134454,0.06987369524426787,10000,4816,3816,238
281,0.12,0.026799007444168736,0.09418958223162349,10000,4984,4031,2015
282,0.13,0.03543307086614173,0.09208407492160353,10000,5022,4072,254
283,0.14,0.017471736896197326,0.0919296014989795,10000,4872,3894,973
284,0.15000000000000002,0.03811434302908726,0.10969431757673934,10000,5023,3990,997
285,0.01,0.0008873114463176575,0.006992254733218588,10000,4981,3979,3381
286,0.02,0.0029574861367837337,0.012734815954532252,10000,5036,4025,2705
287,0.03,0.0034482758620689655,0.015863782420073812,10000,4897,3926,2900
288,0.04,0.004510756419153366,0.015502918724741806,10000,5038,4004,2882
289,0.05,0.005285412262156448,0.02549578081492975,10000,4930,3867,1892
290,0.060000000000000005,0.005430242272347535,0.03453675426481745,10000,4972,3958,2394
291,0.06999999999999999,0.013032145960034752,0.05184677954847278,10000,4992,4010,1151
292,0.08,0.011617100371747211,0.049933230492943154,10000,4951,3930,2152
293,0.09,0.015625,0.07536362466211868,10000,4936,3969,1984
294,0.09999999999999999,0.012941762070681932,0.062376237623762376,10000,5029,4019,2009
295,0.11,0.024752475247524754,0.0699310174919931,10000,5029,4042,1010
296,0.12,0.022988505747126436,0.083,10000,5003,4003,2001
297,0.13,0.010967098703888335,0.062313410163449656,10000,5008,4014,1003
298,0.14,0.024635495223730517,0.08908224949624473,10000,5024,3979,1989
299,0.15000000000000002,0.025653923541247486,0.08865424430641822,10000,4960,3977,1988
